Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
52664.906,-1.9316876,1.6703126,-4.9821177,1.8222721,0.5323731,-1.1477629,-4.755767,-26.095474,-0.40608776,-3.9888713,3.6061647,-8.787476,-1.9500879,-14.43183,-0.32548413,-6.588784,-10.937556,-6.9525547,0.4173097,-2.9246924,15.2482605,-4.462241,0.67381537,-0.11138945,-1.8094532,-1.1239429,-1.4909742,0.8460894,0.04851469,1.0
152938.19,-1.4413011,0.87174755,-1.4626215,1.9387696,-0.34347978,-1.8700175,1.0997275,0.5107024,-1.8405609,-4.3260756,3.2260427,-3.069985,-0.8498326,-3.559225,0.5151838,-1.4948884,0.5457966,-0.0021456135,0.7208959,0.4196351,0.4251761,0.25417107,0.24994414,-0.29430705,0.14044213,-0.6033358,0.5342769,0.4125731,341.04932,1.0
40820.08,-2.66885,1.7519147,0.28861672,1.4395992,-0.045037292,-0.38719547,1.183404,-8.988311,-0.009103747,-3.8823745,1.8441429,0.12693155,-1.4297389,-1.155459,0.77259845,1.1519766,5.5612254,2.0747697,-0.46941236,-0.7149525,0.6024191,-1.4770652,0.08090209,-0.31126907,0.18987408,-0.45756269,0.1908199,0.16073632,2.8741684,1.0
13900.552,-20.885372,16.295937,-28.856499,10.749185,-21.506203,-2.9241931,-19.547718,11.326234,-5.080025,-13.5652895,3.2158456,-17.162813,0.6749054,-14.521157,-0.58802426,-12.659659,-23.237799,-9.090871,3.5762799,-3.968753,16.42194,-5.9539123,-0.86783296,0.7951863,-1.1670076,0.13201754,-1.8440384,-0.49781063,0.03579876,1.0
154684.77,-1.7132486,-6.0854907,0.643649,0.68669784,4.248008,5.724846,1.9264516,-37.297768,1.5164479,-0.05733044,-0.33733922,0.24680257,-2.002757,-0.8223757,1.7487774,2.2878106,6.5072184,2.5610237,-3.266194,-1.4087131,23.155825,-8.86569,5.194187,-0.6071361,-0.038328752,-0.04809335,0.836724,0.2009533,157.90883,1.0
25613.225,-1.7887884,3.2257562,-4.5239472,4.3561645,-1.2042891,-2.1108084,0.1723669,0.38670033,0.09462683,-8.738499,5.1124835,-2.2085886,1.0564487,-5.1708074,-0.41334513,0.5139805,4.042993,1.4356574,-2.7207654,1.1497494,0.5617834,-5.81745,-0.1097833,-0.20546153,2.006555,-0.22564,0.7123031,0.3584643,0.8714745,1.0
1303.7825,-4.6416683,12.878968,-8.082857,7.671792,-6.035915,-2.2083833,-4.209393,2.070176,-3.224681,-5.0360646,3.809022,-5.4591274,1.2282269,-8.399781,-1.6677238,-3.1427224,-5.359076,-3.1022117,0.37274307,-1.4624289,-1.1339587,0.1673932,-0.7964694,0.40252984,0.084685,-0.4679308,0.040356558,-0.03027963,0.0045846463,1.0
45862.242,-3.6808436,1.7420071,-4.4649997,2.856415,-1.666644,-1.46952,-2.3659956,0.8978134,-1.8794509,-4.51562,3.360563,-3.782064,-1.1284058,-4.6790648,0.2061948,-4.624444,-6.1575494,-3.5632627,1.2239035,-0.29654673,0.96496636,-0.30759668,0.08159408,0.14145346,0.064894766,-0.63232297,0.20040669,0.3784835,66.149895,1.0
57523.1,-23.29061,14.37683,-24.903337,7.1584854,-18.57071,-2.8139617,-19.128008,15.730556,-3.736529,-10.524441,3.0623243,-7.818242,1.1366303,-7.8327994,-0.3357712,-12.317743,-17.89981,-8.261284,3.0782287,-0.052020427,2.525248,-0.38781843,-0.24329545,0.73641986,0.23898359,-0.21968308,0.6115073,-0.005361393,37.27483,1.0
95310.8,-0.9611698,1.9102452,-5.5028744,2.4318602,-0.24361299,-2.7202194,-1.7033843,1.10437,-1.5538051,-4.654409,3.5749156,-4.447473,1.3476615,-3.8952777,-0.4218324,-2.7188005,-3.2772787,-0.79134387,0.6247404,0.44116402,0.48286018,0.8849326,0.012118127,-0.32512328,0.13561112,-0.21506377,0.36154655,0.24357772,68.737045,1.0
44550.805,-1.3052926,5.9113436,-4.559706,6.001365,-0.5641074,-1.5442172,-4.8840914,0.4378482,-6.256015,-3.8932004,3.471342,-8.118523,-1.5678307,-10.5483465,0.8663381,-7.3235617,-11.628541,-4.542848,1.2655302,-0.66115224,0.6131437,0.6843732,-1.5657474,0.088081025,-0.012138072,-0.22542344,-2.6403604,0.26856261,0.49060017,1.0
146760.64,-1.3568029,-1.7215233,0.60861105,0.72682947,3.4870472,4.822818,1.8972911,-34.7768,-0.2489129,-0.053885117,-0.45054132,0.25386232,-2.002761,-0.9561049,1.7476469,2.2869377,6.4933996,2.5447443,-3.2675197,0.30366722,0.8542226,-3.4317412,0.6321639,-0.33541575,-0.13453928,-0.24524239,0.7225229,-0.01190403,46.36454,1.0
130169.305,0.80281115,1.3080779,-2.0355847,3.1810877,-0.19887854,-0.42590162,0.109675355,0.4452745,-2.6285553,-1.9341358,2.7301784,-3.7209964,-1.2656413,-4.0025034,0.89784706,0.84765387,0.11708685,0.33199367,0.9927669,0.36420178,0.41957808,0.12612393,0.56683433,-0.20466101,-1.1061157,-0.0077746883,0.411801,0.25062734,264.60242,1.0
147619.44,0.19047357,-3.141004,-0.31489667,0.6965785,-0.111426204,-0.9270081,1.2362616,-5.0673842,0.3691428,-3.7765324,2.2879426,-3.6638823,0.47152752,-1.2448645,-0.08808777,-2.1399086,1.1500378,0.086879745,0.9224109,0.63787985,0.07976495,1.0388613,0.6696502,-0.18417233,-0.31364498,-0.39312738,0.040677596,0.2958829,383.89688,1.0
45571.3,-0.43257055,1.4660133,-3.0841105,3.5670333,-2.0836127,0.09346485,-8.25602,1.3188204,-1.9008445,-1.8293885,4.644146,-6.814696,-0.7684008,-4.4352264,1.0254439,-2.4878304,-13.1909485,-2.0861912,2.2910352,0.18896294,0.6399387,-0.022922587,3.587607,-0.34484425,-2.0261528,0.8852255,1.3763988,0.08075257,27.370537,1.0
35021.266,0.07518339,3.1305926,-4.760171,4.186072,-1.2116845,-1.3596328,-2.7634397,1.1140941,-2.2865546,-3.5477462,5.4651103,-11.475398,0.39968282,-7.7846613,0.37071186,-4.0866327,-10.112048,-0.79204416,1.2525264,0.74899375,0.5334191,0.6875469,0.43051934,-0.34748453,-0.83145386,0.8045076,0.5399812,0.20650963,0.38470683,1.0
19678.988,-6.7394733,13.524693,-23.224142,11.143987,-15.502152,-2.86817,-13.216386,3.4557478,-4.5333376,-13.569562,5.223362,-12.220301,1.2468624,-14.494789,-0.182749,-10.824634,-11.206429,-5.283507,0.8647345,0.10528155,0.63932765,-0.92926985,-0.6321055,0.22653693,0.21390103,0.29699948,0.54783523,-0.33404446,0.0033118546,1.0
66451.87,-3.7689464,1.5349419,-5.129249,1.9978269,-3.1213474,-1.1145207,-3.038506,1.2474763,-1.9628032,-5.0435014,3.0603697,-3.593097,0.27304503,-4.7018094,0.4918181,-5.279258,-6.278293,-1.6031588,2.6825988,0.3372322,1.4147598,0.109525785,0.32811168,-0.28297493,-0.27152568,-0.10487754,0.4910572,0.27244318,293.49094,1.0
159544.42,-1.0642446,0.94126314,-2.7250364,1.9762163,0.29584453,-2.1346307,-0.05567403,0.36331308,-1.3040875,-5.073091,4.462582,-6.7557526,-0.47977805,-6.702004,-0.08592238,-2.5025468,-1.993505,-0.3013597,0.5379879,0.4663266,1.1968524,-0.086548574,0.45678312,-0.36706388,-0.04313796,-0.40183985,0.116749406,0.68151116,278.6094,1.0
5862.453,-4.8357525,15.151382,-26.167122,11.633509,-20.779142,-2.0002534,-19.825983,14.599269,-7.022043,-12.3271885,9.422613,-16.978168,1.4955295,-16.600847,0.38784936,-12.158665,-23.1842,-8.835443,1.3268343,0.4511516,-1.8766768,0.47908637,0.030106364,-0.10469401,0.095799334,1.0372134,1.3901217,-1.4089133,0.00011144227,1.0
152953.48,-1.3700497,1.0675155,-2.7458787,2.4258063,-0.1302363,-1.7372288,-0.6618777,0.5549808,-1.9977903,-3.7110362,2.4551344,-1.9831386,-0.20947212,-4.00606,0.49070847,-2.2681174,-1.7977515,-0.7010851,0.9963492,-0.03533261,0.5504317,0.076385394,0.44647673,0.14129335,-0.5122155,-0.6346329,0.23615918,0.30956385,340.6107,1.0
123038.64,-1.369147,1.09735,-1.8030932,2.109361,-0.18876053,-1.7430543,-1.0392184,1.1625926,-3.2184145,-3.9344923,3.5709865,-2.179663,0.23072809,-2.4901707,0.493455,-2.6619217,-2.8977995,-0.77213955,1.4853444,0.2917492,0.41078135,1.0891309,-0.16460691,-0.49287462,0.015881067,0.028593287,0.5531379,0.18739721,139.38814,1.0
